12
10 8 6 -10 9 2 6 2 4 8 6 -10 0 3 10 -9 1 -9 6 3 9 
10 -7 3 -8 6 7 4 -9 5 7 1 -1 6 1 8 5 3 0 1 -5 3 
10 9 1 -4 4 4 7 4 1 -2 5 8 5 -8 3 -4 1 2 8 -8 6 
10 -3 4 6 8 -4 0 1 4 -5 8 -3 3 0 8 9 9 0 2 8 1 
10 -6 3 0 6 -2 3 10 10 -9 8 8 7 5 7 7 1 6 8 6 7 
10 8 9 9 3 -4 9 -4 8 -1 4 -3 3 -5 8 -1 0 -9 1 6 9 
10 -7 6 -7 4 -3 10 5 4 -1 3 4 5 -9 0 9 10 10 3 -10 9 
10 -3 6 3 9 9 8 -5 2 4 3 -9 6 -3 3 -4 7 -3 1 7 7 
10 4 0 -1 10 -6 5 -2 7 -10 8 -9 8 -6 2 -8 6 -3 0 0 4 
10 4 10 -7 1 4 2 8 8 5 8 -10 7 -10 8 3 4 3 10 3 5 
